Speed (ft/s),Motor Command (ul)
0,0
1.7,0.1
3.9,0.2
6.2,0.3
8.4,0.4
10.6,0.5
12.8,0.6
15.0,0.7
17.2,0.8
19.1,0.9
19.1,1
19.1,1
