Speed (ft/s),Motor Command (ul)
0,0
0.7,0.1
1.6,0.2
2.5,0.3
3.5,0.4
4.3,0.5
5.2,0.6
6.1,0.7
6.9,0.8
7.8,0.9
8.3,1
19.1,1
