Speed (ft/s),Motor Command (ul)
0,0
1.10,0.1
3.00,0.2
4.90,0.3
6.75,0.4
8.50,0.5
10.20,0.6
11.90,0.7
13.50,0.8
15.20,0.9
16.10,1
16.10,1
