Speed (ft/s),Motor Command (ul)
0,0
0.55,0.1
1.40,0.2
2.20,0.3
3.05,0.4
3.80,0.5
4.60,0.6
5.35,0.7
6.10,0.8
6.85,0.9
7.40,1
16.10,1
